year,month,day,capacity,base_demand,base_price_economy,base_price_business,no_show_prob
1949,Feb,23,200,133,132.88,389.6,0.0916
1949,Feb,24,250,145,192.54,587.09,0.0438
1949,Feb,25,300,162,128.45,450.73,0.1723
1949,Feb,26,250,123,265.59,949.25,0.0495
1949,Feb,27,250,139,236.85,715.86,0.0708
1949,Feb,28,300,145,148.07,503.24,0.1242
1949,Feb,29,150,114,287.08,913.85,0.1202
1949,Feb,30,200,132,112.19,343.89,0.0349
1949,Mar,1,200,125,270.04,906.15,0.006
1949,Mar,2,250,140,208.83,792.88,0.0298
1949,Mar,3,300,130,198.57,679.52,0.1523
1949,Mar,4,250,115,161.33,485.34,0.0519
1949,Mar,5,250,119,181.76,632.59,0.0438
1949,Mar,6,150,141,220.72,872.7,0.1561
1949,Mar,7,150,85,153.5,470.27,0.1008
1949,Mar,8,150,143,247.59,885.93,0.0966
1949,Mar,9,200,82,296.25,1112.69,0.0267
1949,Mar,10,200,159,267.1,819.92,0.1262
1949,Mar,11,200,115,283.54,1068.29,0.0463
1949,Mar,12,200,149,284.34,921.29,0.0707
1949,Mar,13,250,169,260.31,910.12,0.039
1949,Mar,14,150,131,234.22,888.58,0.0855
1949,Mar,15,200,123,157.14,408.86,0.1733
1949,Mar,16,200,154,207.13,647.36,0.049
1949,Mar,17,150,132,242.31,719.05,0.0385
1949,Mar,18,150,161,190.51,577.15,0.0262
1949,Mar,19,250,131,148.05,376.42,0.032
1949,Mar,20,300,136,198.27,762.94,0.0634
1949,Mar,21,150,114,200.78,574.03,0.1415
1949,Mar,22,250,164,259.43,996.04,0.0213
1949,Mar,23,300,110,213.71,824.32,0.0845
1949,Mar,24,300,144,200.23,785.96,0.0079
1949,Mar,25,300,162,145.61,478.08,0.1664
1949,Mar,26,300,147,219.8,878.71,0.1018
1949,Mar,27,300,132,126.79,396.3,0.0526
1949,Mar,28,250,89,245.83,747.65,0.0295
1949,Mar,29,200,141,201.16,788.79,0.0832
1949,Mar,30,300,129,183.08,478.01,0.0487
1949,Apr,1,300,126,281.07,852.4,0.0433
1949,Apr,2,300,185,277.91,760.33,0.0225
1949,Apr,3,200,122,226.38,716.78,0.1292
1949,Apr,4,200,143,177.79,680.69,0.0485
1949,Apr,5,200,135,267.77,952.17,0.2082
1949,Apr,6,200,157,254.14,715.65,0.0228
1949,Apr,7,150,103,284.29,831.21,0.0224
1949,Apr,8,200,128,234.57,593.1,0.0885
1949,Apr,9,150,133,171.23,578.74,0.0306
1949,Apr,10,250,102,226.97,806.72,0.0595
1949,Apr,11,250,150,156.8,488.54,0.031
1949,Apr,12,150,106,134.02,525.49,0.0869
1949,Apr,13,150,127,270.17,1072.33,0.0317
1949,Apr,14,200,141,125.91,489.51,0.2019
1949,Apr,15,250,146,250.57,960.59,0.1708
1949,Apr,16,200,148,139.5,457.36,0.234
1949,Apr,17,300,90,160.49,600.03,0.1695
1949,Apr,18,200,127,194.28,555.9,0.0299
1949,Apr,19,150,161,200.26,537.98,0.0363
1949,Apr,20,150,88,148.94,393.92,0.1442
1949,Apr,21,150,135,244.61,639.36,0.0649
1949,Apr,22,250,127,197.01,683.88,0.1538
1949,Apr,23,150,103,128.4,396.22,0.0381
1949,Apr,24,250,149,156.1,613.59,0.0076
1949,Apr,25,200,130,195.27,780.5,0.0311
1949,Apr,26,250,143,213.57,710.12,0.0367
1949,Apr,27,200,130,258.5,767.41,0.0952
1949,Apr,28,250,203,137.86,456.8,0.0564
1949,Apr,29,250,107,200.97,787.9,0.0348
1949,Apr,30,200,161,281.45,854.24,0.0395
1949,May,1,250,135,264.17,765.84,0.0187
1949,May,2,300,102,276.34,922.56,0.1182
1949,May,3,250,116,227.79,619.27,0.0605
1949,May,4,250,110,285.57,1139.85,0.1886
1949,May,5,250,74,118.79,369.19,0.0694
1949,May,6,200,137,294.59,1042.58,0.0271
1949,May,7,150,101,291.38,783.72,0.1074
1949,May,8,300,127,109.29,327.2,0.1216
1949,May,9,250,119,109.03,373.89,0.1889
1949,May,10,300,119,219.4,719.49,0.0493
1949,May,11,250,108,172.46,498.28,0.112
1949,May,12,300,150,116.44,386.35,0.0682
1949,May,13,200,123,102.84,369.45,0.0333
1949,May,14,150,121,191.63,639.74,0.1398
1949,May,15,300,147,203.56,801.07,0.1525
1949,May,16,200,168,278.61,757.09,0.0963
1949,May,17,150,142,217.3,718.85,0.2622
1949,May,18,300,90,142.92,498.54,0.0678
1949,May,19,250,95,242.63,688.72,0.2344
1949,May,20,250,101,167.76,444.81,0.0254
1949,May,21,250,120,209.38,634.57,0.1765
1949,May,22,250,133,263.18,915.63,0.0984
1949,May,23,200,105,144.65,423.88,0.0913
1949,May,24,200,74,105.05,284.83,0.0519
1949,May,25,200,137,235.38,606.79,0.0655
1949,May,26,250,113,284.45,902.78,0.1813
1949,May,27,200,89,256.76,860.05,0.1046
1949,May,28,250,111,133.04,519.57,0.1559
1949,May,29,300,123,217.98,654.8,0.1112
1949,May,30,300,152,129.95,337.47,0.0575
1949,Jun,1,300,122,160.77,505.11,0.0286
1949,Jun,2,200,124,267.78,875.19,0.0955
1949,Jun,3,150,117,272.21,1034.67,0.1103
1949,Jun,4,200,119,199.08,550.29,0.1004
1949,Jun,5,300,146,246.15,619.12,0.1684
1949,Jun,6,300,182,135.1,494.65,0.1356
1949,Jun,7,300,137,291.76,895.0,0.1096
1949,Jun,8,200,160,195.88,583.72,0.0589
1949,Jun,9,150,152,209.05,756.67,0.1121
1949,Jun,10,300,167,236.67,595.63,0.0467
1949,Jun,11,300,155,124.41,487.28,0.067
1949,Jun,12,250,145,116.37,333.28,0.1656
1949,Jun,13,150,148,177.57,635.37,0.0369
1949,Jun,14,200,113,197.29,754.79,0.2203
1949,Jun,15,300,115,199.25,766.79,0.0336
1949,Jun,16,150,121,212.17,832.23,0.0039
1949,Jun,17,300,102,133.77,521.72,0.0552
1949,Jun,18,200,146,123.28,429.96,0.18
1949,Jun,19,300,151,256.13,729.82,0.0869
1949,Jun,20,250,113,273.16,849.28,0.0772
1949,Jun,21,300,140,168.73,600.28,0.1432
1949,Jun,22,150,152,245.41,658.31,0.1165
1949,Jun,23,150,91,297.71,1022.63,0.1306
1949,Jun,24,150,138,291.04,972.8,0.092
1949,Jun,25,200,200,125.78,455.01,0.089
1949,Jun,26,200,146,196.38,499.96,0.1073
1949,Jun,27,150,224,114.78,313.89,0.0885
1949,Jun,28,150,115,195.3,701.89,0.1402
1949,Jun,29,250,151,119.86,419.7,0.1453
1949,Jun,30,300,122,222.9,818.33,0.07
1949,Jul,1,200,135,297.49,1094.83,0.0662
1949,Jul,2,300,197,228.63,768.57,0.0746
1949,Jul,3,200,155,224.52,787.17,0.0753
1949,Jul,4,250,158,248.28,813.84,0.0559
1949,Jul,5,150,106,283.98,779.87,0.0667
1949,Jul,6,300,155,119.33,382.5,0.069
1949,Jul,7,250,113,151.24,600.39,0.0094
1949,Jul,8,250,131,232.73,922.43,0.1023
1949,Jul,9,250,93,107.43,374.58,0.0692
1949,Jul,10,250,103,285.76,963.38,0.1254
1949,Jul,11,200,126,168.13,631.68,0.0972
1949,Jul,12,250,142,212.91,589.43,0.1009
1949,Jul,13,200,172,196.43,493.04,0.03
1949,Jul,14,150,162,260.63,726.95,0.0879
1949,Jul,15,150,154,243.84,912.75,0.0301
1949,Jul,16,250,82,216.05,619.81,0.0716
1949,Jul,17,200,131,289.79,768.96,0.0488
1949,Jul,18,150,238,190.84,496.35,0.1255
1949,Jul,19,300,124,237.66,833.95,0.0597
1949,Jul,20,150,180,263.3,837.78,0.2104
1949,Jul,21,300,156,268.19,803.72,0.1458
1949,Jul,22,150,181,121.81,422.95,0.0885
1949,Jul,23,200,156,233.6,815.89,0.0274
1949,Jul,24,200,189,118.34,422.41,0.0895
1949,Jul,25,300,171,110.92,343.38,0.1195
1949,Jul,26,150,135,215.06,708.12,0.2852
1949,Jul,27,250,145,112.32,368.74,0.0784
1949,Jul,28,150,157,193.56,523.92,0.1067
1949,Jul,29,300,151,229.03,877.71,0.0177
1949,Jul,30,250,132,189.38,555.71,0.0225
1949,Aug,1,200,159,214.5,742.44,0.0673
1949,Aug,2,250,170,183.55,640.55,0.1846
1949,Aug,3,300,148,288.13,870.93,0.0838
1949,Aug,4,150,166,155.85,471.8,0.0099
1949,Aug,5,150,140,103.54,324.22,0.1554
1949,Aug,6,200,119,246.82,646.47,0.0342
1949,Aug,7,300,122,247.13,664.45,0.1837
1949,Aug,8,300,164,298.72,1055.46,0.0106
1949,Aug,9,200,127,248.94,834.6,0.1161
1949,Aug,10,200,182,118.92,317.97,0.1103
1949,Aug,11,300,170,145.32,420.98,0.0595
1949,Aug,12,150,199,114.44,367.31,0.1125
1949,Aug,13,150,150,145.1,392.62,0.1142
1949,Aug,14,250,117,228.97,611.88,0.2145
1949,Aug,15,300,175,193.03,600.29,0.0363
1949,Aug,16,200,176,183.71,501.14,0.0543
1949,Aug,17,250,112,198.19,506.86,0.0804
1949,Aug,18,150,100,216.71,829.62,0.0516
1949,Aug,19,300,191,277.68,923.88,0.1215
1949,Aug,20,250,104,228.86,729.45,0.0296
1949,Aug,21,300,149,108.99,330.71,0.1173
1949,Aug,22,200,116,117.13,378.09,0.0484
1949,Aug,23,200,191,253.32,1005.67,0.1087
1949,Aug,24,200,149,100.07,315.83,0.1845
1949,Aug,25,250,173,276.37,700.34,0.014
1949,Aug,26,250,137,236.84,658.96,0.0369
1949,Aug,27,150,151,296.3,993.17,0.1274
1949,Aug,28,150,114,174.64,643.05,0.2388
1949,Aug,29,300,133,177.4,604.85,0.0561
1949,Aug,30,150,120,261.51,762.95,0.0565
1949,Sep,1,250,120,200.13,765.67,0.1007
1949,Sep,2,150,150,203.2,582.0,0.1106
1949,Sep,3,150,186,195.76,523.11,0.1845
1949,Sep,4,150,123,131.92,520.47,0.183
1949,Sep,5,150,110,292.1,799.75,0.0208
1949,Sep,6,200,125,127.8,396.75,0.1442
1949,Sep,7,300,161,138.93,431.83,0.0812
1949,Sep,8,300,122,297.68,1126.72,0.1292
1949,Sep,9,150,72,209.67,819.13,0.1016
1949,Sep,10,200,98,258.37,847.47,0.1076
1949,Sep,11,300,105,288.17,1043.87,0.0254
1949,Sep,12,150,92,265.98,729.51,0.01
1949,Sep,13,250,131,262.34,890.96,0.0324
1949,Sep,14,200,209,157.32,422.09,0.0163
1949,Sep,15,150,115,221.41,828.0,0.1103
1949,Sep,16,200,135,224.81,742.14,0.0994
1949,Sep,17,200,120,124.79,470.26,0.2049
1949,Sep,18,200,112,116.21,368.1,0.0884
1949,Sep,19,300,139,160.16,548.71,0.0302
1949,Sep,20,200,105,184.94,601.3,0.0278
1949,Sep,21,150,177,157.44,494.46,0.0825
1949,Sep,22,150,115,286.21,1007.93,0.0525
1949,Sep,23,300,156,138.89,399.65,0.0424
1949,Sep,24,150,172,127.06,319.37,0.0824
1949,Sep,25,250,145,154.16,392.05,0.0097
1949,Sep,26,250,171,110.46,395.73,0.0871
1949,Sep,27,150,130,160.56,403.67,0.0288
1949,Sep,28,250,91,140.83,354.33,0.1063
1949,Sep,29,250,196,233.03,768.58,0.0717
1949,Sep,30,250,147,225.69,854.1,0.1438
1949,Oct,1,200,110,178.92,545.4,0.1003
1949,Oct,2,150,128,163.22,613.35,0.0343
1949,Oct,3,200,130,213.83,622.69,0.1677
1949,Oct,4,300,160,258.89,828.99,0.0152
1949,Oct,5,200,163,129.66,329.87,0.1674
1949,Oct,6,150,125,115.67,405.57,0.0172
1949,Oct,7,150,115,147.29,395.05,0.1093
1949,Oct,8,200,86,231.87,633.57,0.0752
1949,Oct,9,200,56,205.85,588.82,0.0365
1949,Oct,10,200,165,142.77,458.02,0.1001
1949,Oct,11,300,148,146.88,549.02,0.0609
1949,Oct,12,200,156,228.94,879.9,0.1092
1949,Oct,13,300,144,143.7,379.23,0.1994
1949,Oct,14,300,157,141.84,482.39,0.1292
1949,Oct,15,250,107,108.57,383.37,0.0285
1949,Oct,16,250,123,167.32,533.8,0.0549
1949,Oct,17,200,77,276.23,880.77,0.0127
1949,Oct,18,200,138,289.12,899.78,0.0686
1949,Oct,19,250,145,181.2,697.18,0.0268
1949,Oct,20,200,74,173.49,497.75,0.1219
1949,Oct,21,300,132,235.22,939.11,0.1797
1949,Oct,22,250,98,219.85,636.92,0.1675
1949,Oct,23,250,134,147.62,470.49,0.0565
1949,Oct,24,250,157,234.58,812.55,0.1353
1949,Oct,25,200,94,286.42,1026.29,0.074
1949,Oct,26,300,146,228.47,649.7,0.1025
1949,Oct,27,150,146,209.93,748.68,0.0136
1949,Oct,28,150,116,142.08,520.48,0.2257
1949,Oct,29,250,126,146.55,426.5,0.2271
1949,Oct,30,150,143,151.21,500.43,0.0955
1949,Nov,1,200,124,266.54,905.5,0.1031
1949,Nov,2,150,78,273.27,888.97,0.1766
1949,Nov,3,150,107,133.13,367.74,0.0675
1949,Nov,4,200,108,191.92,586.77,0.0061
1949,Nov,5,300,94,274.59,1017.11,0.0179
1949,Nov,6,200,108,285.39,734.57,0.0743
1949,Nov,7,150,97,160.33,456.26,0.077
1949,Nov,8,250,99,253.3,679.6,0.0388
1949,Nov,9,300,128,148.74,419.15,0.0232
1949,Nov,10,200,105,158.64,490.95,0.1622
1949,Nov,11,300,110,132.99,438.4,0.1671
1949,Nov,12,200,110,222.22,857.15,0.1471
1949,Nov,13,300,82,207.76,741.38,0.0202
1949,Nov,14,300,141,108.81,406.02,0.0409
1949,Nov,15,150,120,220.78,638.39,0.123
1949,Nov,16,200,91,223.61,676.04,0.0724
1949,Nov,17,150,99,289.8,969.09,0.0639
1949,Nov,18,250,119,126.13,491.29,0.139
1949,Nov,19,200,122,221.78,806.77,0.0431
1949,Nov,20,250,84,133.61,452.36,0.0328
1949,Nov,21,250,84,215.04,760.34,0.1185
1949,Nov,22,150,110,256.64,878.69,0.0689
1949,Nov,23,200,98,216.34,671.66,0.1401
1949,Nov,24,150,91,246.51,912.43,0.0206
1949,Nov,25,300,105,103.93,293.58,0.1218
1949,Nov,26,250,138,237.77,653.37,0.0648
1949,Nov,27,250,153,131.28,390.79,0.1739
1949,Nov,28,200,99,226.84,792.41,0.0473
1949,Nov,29,150,133,275.02,899.18,0.0725
1949,Nov,30,150,92,257.1,717.15,0.022
1949,Dec,1,200,133,241.41,735.53,0.0272
1949,Dec,2,150,104,178.93,686.63,0.0841
1949,Dec,3,200,148,177.42,487.46,0.0345
1949,Dec,4,150,105,259.31,823.71,0.0536
1949,Dec,5,250,168,115.49,441.68,0.0334
1949,Dec,6,300,108,227.33,832.51,0.0605
1949,Dec,7,300,113,158.68,500.61,0.0894
1949,Dec,8,150,98,292.73,957.02,0.0555
1949,Dec,9,200,127,108.45,276.77,0.0705
1949,Dec,10,200,141,119.38,349.62,0.0228
1949,Dec,11,250,151,109.28,390.6,0.1046
1949,Dec,12,250,183,200.25,660.35,0.076
1949,Dec,13,250,124,187.39,505.9,0.1474
1949,Dec,14,300,135,142.78,484.54,0.0148
1949,Dec,15,150,137,106.26,360.65,0.0646
1949,Dec,16,150,134,298.7,847.79,0.0722
1949,Dec,17,300,133,243.18,846.0,0.1555
1949,Dec,18,150,113,298.26,803.95,0.0218
1949,Dec,19,200,106,254.46,657.36,0.1692
1949,Dec,20,300,104,181.41,709.45,0.0201
1949,Dec,21,200,88,181.49,708.13,0.0343
1949,Dec,22,300,116,143.83,482.97,0.0625
1949,Dec,23,150,95,105.44,405.39,0.0303
1949,Dec,24,150,109,105.58,278.58,0.0946
1949,Dec,25,300,110,136.36,514.4,0.0523
1949,Dec,26,200,125,297.25,958.4,0.1023
1949,Dec,27,250,125,139.11,516.46,0.1507
1949,Dec,28,250,97,121.6,403.24,0.0906
1949,Dec,29,250,142,126.93,452.86,0.0987
1949,Dec,30,200,124,181.65,461.43,0.0711
1950,Jan,1,150,116,285.02,762.1,0.0138
1950,Jan,2,300,140,146.44,544.43,0.2056
1950,Jan,3,150,92,178.75,484.66,0.1229
1950,Jan,4,300,92,123.29,432.25,0.061
1950,Jan,5,250,122,299.6,816.12,0.044
1950,Jan,6,300,124,102.85,334.25,0.064
1950,Jan,7,250,97,250.79,762.23,0.0724
1950,Jan,8,200,151,250.13,765.5,0.1074
1950,Jan,9,300,107,215.29,795.37,0.114
1950,Jan,10,200,120,280.96,1094.59,0.1201
1950,Jan,11,150,108,123.41,361.29,0.0559
1950,Jan,12,250,100,177.1,495.74,0.0119
1950,Jan,13,200,127,147.71,397.08,0.0379
1950,Jan,14,300,110,122.13,330.12,0.0068
1950,Jan,15,300,89,260.38,844.22,0.0282
1950,Jan,16,250,76,140.26,447.6,0.067
1950,Jan,17,250,117,118.54,379.5,0.1595
1950,Jan,18,200,107,139.65,485.98,0.2005
1950,Jan,19,250,147,223.0,852.94,0.1352
1950,Jan,20,150,105,157.11,504.4,0.051
1950,Jan,21,200,120,255.89,993.46,0.071
1950,Jan,22,150,132,258.46,902.58,0.0637
1950,Jan,23,300,139,153.02,436.13,0.0471
1950,Jan,24,250,95,242.02,831.04,0.0137
1950,Jan,25,300,77,168.5,570.06,0.1258
1950,Jan,26,200,124,106.71,409.67,0.0505
1950,Jan,27,250,123,282.45,1026.34,0.0989
1950,Jan,28,150,120,101.79,257.04,0.0903
1950,Jan,29,150,138,140.45,389.85,0.0646
1950,Jan,30,300,111,162.59,531.08,0.1914
1950,Feb,1,250,83,234.93,861.48,0.1009
1950,Feb,2,300,167,213.23,737.58,0.1586
1950,Feb,3,250,132,157.0,404.4,0.1672
1950,Feb,4,250,144,227.68,877.92,0.0508
1950,Feb,5,250,144,215.03,646.97,0.0301
1950,Feb,6,150,132,274.01,692.04,0.0428
1950,Feb,7,250,63,101.4,371.82,0.1537
1950,Feb,8,150,61,133.52,406.35,0.0639
1950,Feb,9,200,134,241.36,696.06,0.0533
1950,Feb,10,300,133,129.53,486.39,0.1201
1950,Feb,11,300,97,186.58,549.22,0.0786
1950,Feb,12,150,130,160.24,580.07,0.0946
1950,Feb,13,250,162,290.72,1102.57,0.1095
1950,Feb,14,250,103,209.47,720.13,0.2355
1950,Feb,15,200,82,294.05,776.39,0.0968
1950,Feb,16,250,72,159.92,475.24,0.1474
1950,Feb,17,200,118,136.77,509.79,0.0832
1950,Feb,18,300,121,252.49,981.5,0.0907
1950,Feb,19,300,95,137.24,498.44,0.0552
1950,Feb,20,300,144,185.57,562.16,0.0599
1950,Feb,21,150,110,217.06,810.09,0.1452
1950,Feb,22,150,143,218.89,744.23,0.0433
1950,Feb,23,250,123,290.14,750.52,0.0244
1950,Feb,24,200,146,158.48,533.2,0.0421
1950,Feb,25,300,76,133.19,497.88,0.1674
1950,Feb,26,200,77,135.2,418.51,0.0728
1950,Feb,27,250,142,214.52,736.37,0.1683
1950,Feb,28,150,128,161.37,412.68,0.1319
1950,Feb,29,250,163,160.95,500.23,0.1109
1950,Feb,30,300,102,262.13,987.56,0.0345
1950,Mar,1,200,130,176.16,694.74,0.1905
1950,Mar,2,150,162,199.71,505.8,0.1036
1950,Mar,3,250,162,231.27,922.9,0.1011
1950,Mar,4,150,106,178.85,472.75,0.0351
1950,Mar,5,300,163,270.77,860.14,0.1481
1950,Mar,6,250,141,217.72,760.52,0.0042
1950,Mar,7,300,214,237.83,633.29,0.0893
1950,Mar,8,250,147,148.2,436.78,0.0694
1950,Mar,9,150,74,232.21,628.13,0.2327
1950,Mar,10,150,134,270.33,1004.62,0.0301
1950,Mar,11,150,171,194.1,494.2,0.0896
1950,Mar,12,150,134,269.06,850.62,0.1468
1950,Mar,13,300,180,125.44,379.04,0.0774
1950,Mar,14,150,131,265.12,674.3,0.0764
1950,Mar,15,200,119,110.78,370.51,0.0975
1950,Mar,16,150,162,233.44,904.87,0.1796
1950,Mar,17,250,140,160.55,518.34,0.3692
1950,Mar,18,300,97,282.14,858.91,0.0503
1950,Mar,19,300,173,186.52,719.85,0.0185
1950,Mar,20,150,155,148.75,569.67,0.0676
1950,Mar,21,150,116,254.26,694.49,0.1404
1950,Mar,22,200,124,167.91,513.96,0.0577
1950,Mar,23,150,123,102.53,406.96,0.0637
1950,Mar,24,300,123,218.8,598.55,0.0567
1950,Mar,25,250,161,196.55,533.23,0.1926
1950,Mar,26,250,116,174.17,501.03,0.0631
1950,Mar,27,250,147,280.16,912.63,0.0887
1950,Mar,28,150,170,163.53,436.21,0.1184
1950,Mar,29,150,162,282.47,901.26,0.1168
1950,Mar,30,200,154,199.24,654.65,0.0612
1950,Apr,1,250,117,214.26,856.12,0.0806
1950,Apr,2,150,46,195.9,588.65,0.0506
1950,Apr,3,200,140,244.64,775.79,0.1085
1950,Apr,4,250,88,218.17,649.21,0.0683
1950,Apr,5,200,188,292.97,816.07,0.227
1950,Apr,6,150,161,146.45,521.24,0.1261
1950,Apr,7,200,124,201.82,620.65,0.0474
1950,Apr,8,250,108,164.75,602.65,0.0409
1950,Apr,9,150,143,281.24,848.47,0.2558
1950,Apr,10,150,162,229.97,890.98,0.1518
1950,Apr,11,150,128,162.52,423.88,0.2046
1950,Apr,12,150,116,138.49,384.11,0.0555
1950,Apr,13,200,127,114.12,422.66,0.1886
1950,Apr,14,200,182,293.73,983.9,0.0231
1950,Apr,15,300,114,149.57,541.14,0.014
1950,Apr,16,250,123,173.42,582.04,0.0248
1950,Apr,17,300,135,232.15,704.48,0.0402
1950,Apr,18,150,159,246.33,971.25,0.0456
1950,Apr,19,250,157,173.8,691.82,0.0967
1950,Apr,20,250,151,163.13,529.61,0.0946
1950,Apr,21,250,147,202.86,556.6,0.0557
1950,Apr,22,250,128,281.58,887.57,0.1654
1950,Apr,23,300,196,263.51,846.45,0.0721
1950,Apr,24,200,146,200.12,767.28,0.0283
1950,Apr,25,200,121,278.39,730.41,0.1405
1950,Apr,26,250,110,295.17,859.7,0.0803
1950,Apr,27,300,144,287.58,878.04,0.0573
1950,Apr,28,250,139,136.35,447.87,0.0836
1950,Apr,29,200,150,116.94,384.57,0.106
1950,Apr,30,150,171,150.99,509.76,0.122
1950,May,1,250,120,283.29,1005.05,0.0637
1950,May,2,150,136,274.44,846.05,0.0757
1950,May,3,200,111,190.02,615.71,0.1122
1950,May,4,300,118,136.78,405.56,0.0332
1950,May,5,250,69,251.09,779.49,0.0428
1950,May,6,300,103,144.6,511.42,0.049
1950,May,7,250,113,121.97,386.6,0.0639
1950,May,8,250,102,186.36,474.78,0.132
1950,May,9,250,162,181.34,589.18,0.1347
1950,May,10,150,123,188.22,599.38,0.0377
1950,May,11,300,138,128.58,444.62,0.052
1950,May,12,250,149,117.48,345.71,0.1044
1950,May,13,250,184,231.87,860.38,0.0535
1950,May,14,200,120,189.02,723.41,0.1418
1950,May,15,250,103,274.54,1055.49,0.1206
1950,May,16,150,148,132.37,382.14,0.0283
1950,May,17,250,91,232.93,818.21,0.0466
1950,May,18,300,59,121.84,325.8,0.1607
1950,May,19,250,157,131.12,514.39,0.1133
1950,May,20,300,128,110.12,352.48,0.0199
1950,May,21,250,156,122.95,377.52,0.1098
1950,May,22,150,93,225.0,877.68,0.0733
1950,May,23,200,136,218.26,690.97,0.097
1950,May,24,200,105,186.98,596.82,0.0474
1950,May,25,200,94,157.18,406.68,0.1148
1950,May,26,300,134,219.57,564.27,0.1145
1950,May,27,200,102,214.44,693.89,0.095
1950,May,28,200,116,279.63,774.53,0.0366
1950,May,29,150,102,242.36,817.49,0.182
1950,May,30,200,109,178.66,670.62,0.1081
1950,Jun,1,300,148,253.95,964.78,0.1514
1950,Jun,2,250,126,193.46,636.23,0.0067
1950,Jun,3,150,160,164.69,522.98,0.185
1950,Jun,4,300,146,223.28,662.57,0.0831
1950,Jun,5,150,183,202.09,571.38,0.1234
1950,Jun,6,300,215,230.48,765.63,0.0713
1950,Jun,7,250,193,155.32,536.1,0.0373
1950,Jun,8,250,176,167.7,478.7,0.1927
1950,Jun,9,250,160,141.27,542.2,0.133
1950,Jun,10,300,111,281.48,1059.11,0.0565
1950,Jun,11,150,144,209.61,576.62,0.2502
1950,Jun,12,300,153,213.21,785.58,0.0021
1950,Jun,13,250,205,221.52,772.5,0.0519
1950,Jun,14,200,125,264.8,1003.34,0.0846
1950,Jun,15,300,140,239.03,805.8,0.1909
1950,Jun,16,250,136,143.58,542.98,0.0532
1950,Jun,17,200,183,196.89,650.79,0.1599
1950,Jun,18,200,197,189.32,655.46,0.042
1950,Jun,19,150,150,125.7,422.76,0.0518
1950,Jun,20,250,200,135.14,523.69,0.0968
1950,Jun,21,150,164,159.79,501.74,0.1006
1950,Jun,22,200,121,163.89,470.08,0.086
1950,Jun,23,150,204,250.68,978.57,0.1683
1950,Jun,24,150,122,166.45,542.43,0.0631
1950,Jun,25,250,156,111.51,402.15,0.0781
1950,Jun,26,300,112,280.05,1114.51,0.0647
1950,Jun,27,300,142,194.98,759.34,0.1418
1950,Jun,28,200,153,230.66,629.5,0.0552
1950,Jun,29,200,130,161.96,473.9,0.0549
1950,Jun,30,200,106,298.21,1142.79,0.0998
